City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
118,aasiaat,68.7098,-52.8699,-4.73,85,100,1.98,GL,1682118342
119,linhares,-19.3911,-40.0722,21.69,73,94,2.82,BR,1682118342
120,vilyuchinsk,52.9306,158.4028,3.15,99,100,13.42,RU,1682118342
121,boyolangu,-8.1181,111.8935,24.22,94,85,0.47,ID,1682118342
122,lata,40.1629,-8.3327,14.34,98,86,0.52,PT,1682118343
123,maymana,35.9214,64.7836,14.68,27,0,2.36,AF,1682118277
124,whitehorse,60.7161,-135.0538,7.43,33,75,1.54,CA,1682118343
125,ust'-ilimsk,58.0006,102.6619,-4.91,91,100,2.38,RU,1682118343
126,lompoc,34.6391,-120.4579,31.08,68,0,10.8,US,1682118343
127,port saint john's,-31.6229,29.5448,16.2,69,58,2.27,ZA,1682118343
128,port mathurin,-19.6833,63.4167,26.28,76,24,7.68,MU,1682118069
129,mogadishu,2.0371,45.3438,28.86,71,100,6.5,SO,1682118126
130,revda,56.801,59.9303,4.29,92,100,1.9,RU,1682118344
131,bilibino,68.0546,166.4372,-0.99,61,9,0.86,RU,1682118344
132,nizhnesortymskiy,62.4397,71.7603,0.28,99,100,2.69,RU,1682118344
133,funafuti,-8.5243,179.1942,31.0,79,20,0.0,TV,1682118344
134,bagan,54.1001,77.6646,-0.9,62,5,3.34,RU,1682118344
135,taltal,-25.4,-70.4833,18.21,83,98,1.99,CL,1682118021
136,xilin hot,43.9667,116.0333,-0.82,21,42,4.82,CN,1682118344
137,east london,-33.0153,27.9116,16.23,75,88,1.76,ZA,1682118344
138,darwin,-12.4611,130.8418,25.53,83,0,3.6,AU,1682118345
139,gundlupet,11.8,76.6833,21.75,76,42,1.5,IN,1682118345
140,lebowakgomo,-24.2,29.5,14.5,49,93,3.23,ZA,1682118345
141,kamyanyets,52.4001,23.81,10.97,61,100,1.98,BY,1682118345
142,luderitz,-26.6481,15.1594,13.7,74,33,3.99,NA,1682118345
143,bereznik,62.8551,42.7072,1.15,100,100,0.69,RU,1682118345
144,ribeira grande,38.5167,-28.7,17.1,93,41,6.71,PT,1682118346
145,shohimardon,39.9839,71.8028,5.43,34,0,4.1,UZ,1682118347
146,magadan,59.5667,150.8,4.74,71,45,10.12,RU,1682118347
147,sinop,41.7711,34.8709,6.62,92,95,1.5,TR,1682118347
148,ta`u,-14.2336,-169.5144,27.14,78,95,2.69,AS,1682118347
149,ust-nera,64.5667,143.2,-3.55,91,92,2.19,RU,1682118347
150,colonia,50.9333,6.95,10.54,90,56,1.03,DE,1682118127
151,badger,64.8,-147.5333,5.84,56,100,0.0,US,1682118348
152,morondava,-20.2833,44.2833,23.83,85,24,2.88,MG,1682118348
153,college,64.8569,-147.8028,5.88,56,100,0.0,US,1682118348
154,queenstown,-31.8976,26.8753,7.3,83,81,1.02,ZA,1682118348
155,buba,11.5833,-15.0,26.7,59,100,2.32,GW,1682118348
156,mbandaka,0.0487,18.2603,21.34,97,99,1.53,CD,1682118348
157,tiksi,71.6872,128.8694,-16.99,93,86,1.16,RU,1682118349
158,shirvan,39.9509,48.8994,14.88,90,100,2.13,AZ,1682118349
159,iqaluit,63.7506,-68.5145,-1.15,92,100,3.6,CA,1682118349
160,mamit,23.9333,92.4833,17.06,90,100,1.67,IN,1682118349
161,lebu,-37.6167,-73.65,12.61,91,45,3.99,CL,1682118349
162,kapa'a,22.0752,-159.319,27.49,82,20,4.12,US,1682118349
163,meltham mills,53.5939,-1.8399,8.39,94,100,3.02,GB,1682118349
164,loango,-4.6719,11.8312,25.65,86,100,1.31,CG,1682118350
165,fortuna,40.5982,-124.1573,15.19,77,100,3.48,US,1682118350
166,ushuaia,-54.8,-68.3,4.81,70,40,8.75,AR,1682118279
167,celestun,20.8667,-90.4,28.44,71,34,5.86,MX,1682118350
168,east ballina,-28.8667,153.5833,19.89,72,100,7.42,AU,1682118350
169,dalandzadgad,43.5708,104.425,3.1,17,24,2.09,MN,1682118350
170,yumaguzino,52.9041,56.3933,10.8,50,100,3.43,RU,1682118350
171,nuuk,64.1835,-51.7216,0.34,86,75,4.12,GL,1682118350
172,karatas,36.582,35.3701,15.36,82,4,2.4,TR,1682118351
173,watsa,3.0372,29.5355,17.5,98,95,1.33,CD,1682118351
174,lahat,-3.8,103.5333,22.73,98,100,0.92,ID,1682118351
175,anadyr,64.75,177.4833,-7.72,86,0,2.0,RU,1682118351
176,tazovsky,67.4667,78.7,-1.14,98,100,4.56,RU,1682118351
177,ebon,4.582,168.6964,28.38,76,75,5.09,MH,1682118351
178,hasaki,35.7333,140.8333,14.05,60,100,11.0,JP,1682118351
179,lensk,60.7253,114.9278,-3.74,70,22,1.32,RU,1682118351
180,cabo san lucas,22.8909,-109.9124,30.66,35,100,4.41,MX,1682118010
181,promyshlennaya,54.9159,85.6385,0.53,82,30,1.81,RU,1682118352
182,kudahuvadhoo,2.6708,72.8944,28.24,75,21,2.64,MV,1682118352
183,kayangel,8.0823,134.7173,28.55,74,100,6.6,PW,1682118352
184,la reforma,25.0833,-108.05,25.78,52,93,6.68,MX,1682118352
185,tolanaro,-25.0319,46.9987,21.04,94,20,0.0,MG,1682118352
186,klyuchi,52.2667,79.1667,-1.96,71,9,2.32,RU,1682118352
187,afaahiti,-17.75,-149.2833,29.93,82,85,8.03,PF,1682118352
188,wailua homesteads,22.0669,-159.378,26.74,82,20,4.12,US,1682118352
189,brigantine,39.4101,-74.3646,17.89,85,0,3.6,US,1682118353
190,chichiriviche,10.9333,-68.2772,25.93,85,71,3.82,VE,1682118353
191,kota kinabalu,5.9749,116.0724,25.99,89,20,2.68,MY,1682118353
192,gadzhiyevo,69.2551,33.3362,-2.3,96,100,4.66,RU,1682118353
193,tulun,54.5611,100.5792,-3.08,69,91,2.11,RU,1682118353
194,pontevedra,42.431,-8.6444,11.75,96,36,2.01,ES,1682118155
195,suva,-18.1416,178.4415,29.71,74,40,5.14,FJ,1682118353
196,teotitlan,18.1319,-97.0767,32.55,33,32,4.26,MX,1682118353
